content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
yum'],ambience,0,0,2,2,1.]],1.]]
yum'],drinks,0,0,2,2,1.]],1.]]
yum'],food,1,1,1,1,1.]],1.]]
yum'],location,0,0,2,2,1.]],1.]]
yum'],restaurant,0,0,2,2,1.]],1.]]
yum'],service,0,0,2,2,1.]],1.]]
serves  really  good  sushi,ambience,0,0,2,2,0.36660588 0.13657434 0.08951879 0.40730098]],0.7975544  0.06658305 0.09464267 0.04121994]]
serves  really  good  sushi,drinks,0,0,2,2,0.21724047 0.06806307 0.07724626 0.6374502 ]],0.45882413 0.1166327  0.24850103 0.17604217]]
serves  really  good  sushi,food,1,1,1,1,0.09791381 0.00365711 0.00215817 0.89627093]],0.6619892  0.03739461 0.26840737 0.03220877]]
serves  really  good  sushi,location,0,0,2,2,0.46333954 0.01542285 0.01428388 0.5069537 ]],0.9234059  0.00596981 0.07033291 0.00029135]]
serves  really  good  sushi,restaurant,0,0,2,2,0.18311092 0.01584689 0.01627455 0.7847676 ]],0.6282526  0.06054085 0.24386649 0.06734003]]
serves  really  good  sushi,service,0,0,2,2,0.29410386 0.00727638 0.00948369 0.6891361 ]],0.95603514 0.00231259 0.04095718 0.00069515]]
not  the  biggest  portions  but  adequate,ambience,0,0,2,2,0.00603687 0.01695276 0.02617929 0.40199062 0.1847086  0.36413187]],0.09056678 0.36421055 0.3450731  0.00879608 0.1140236  0.07732992]]
not  the  biggest  portions  but  adequate,drinks,0,0,2,2,0.00839921 0.01873749 0.04425659 0.4695931  0.26009813 0.19891547]],0.05554622 0.31193414 0.4078224  0.00606514 0.12463608 0.09399604]]
not  the  biggest  portions  but  adequate,food,1,1,0,-1,0.00324387 0.00657628 0.0151655  0.8876338  0.05102469 0.03635585]],0.08439188 0.17701396 0.32917574 0.04961599 0.1934073  0.16639511]]
not  the  biggest  portions  but  adequate,location,0,0,2,2,0.00662338 0.02149157 0.03182903 0.78684926 0.04214156 0.11106521]],0.09027377 0.3423812  0.38017976 0.01245015 0.09903806 0.07567704]]
not  the  biggest  portions  but  adequate,restaurant,0,0,2,2,0.01219764 0.03568267 0.10799766 0.67808384 0.08086667 0.08517154]],0.15130727 0.23016134 0.3768597  0.11027006 0.06788515 0.06351636]]
not  the  biggest  portions  but  adequate,service,0,0,2,2,0.00313577 0.00970355 0.00830689 0.45902503 0.11201893 0.40780982]],0.08084079 0.2281967  0.28299809 0.00757552 0.15462293 0.24576598]]
green  tea  creme  brulee  is  a  must,ambience,0,0,2,2,"0.04876101 0.34341308 0.40867743 0.17593521 0.00907791 0.00228887
  0.01184649]]","0.4443835  0.5454778  0.00004194 0.00996546 0.0001165  0.00000426
  0.00001039]]"
green  tea  creme  brulee  is  a  must,drinks,0,0,2,2,"0.00444424 0.38812926 0.38625512 0.2199439  0.00090758 0.00007353
  0.00024635]]","0.05341648 0.89623994 0.04994563 0.00037592 0.00002008 0.00000157
  0.00000032]]"
green  tea  creme  brulee  is  a  must,food,1,1,1,1,"0.02236778 0.05412037 0.21832684 0.6954564  0.00910194 0.0002444
  0.00038231]]","0.2187121  0.11975116 0.250728   0.3093216  0.0970576  0.00149904
  0.00293035]]"
green  tea  creme  brulee  is  a  must,location,0,0,2,2,"0.14541654 0.19782911 0.32666415 0.2576297  0.02298584 0.0068782
  0.04259646]]","0.29274848 0.6907053  0.00000079 0.01650947 0.00003575 0.00000007
  0.00000018]]"
green  tea  creme  brulee  is  a  must,restaurant,0,0,2,2,"0.02563025 0.20504989 0.31321198 0.44397962 0.01038966 0.00067717
  0.00106143]]","0.1846149  0.20753911 0.60408443 0.00318554 0.00056562 0.00000334
  0.00000705]]"
green  tea  creme  brulee  is  a  must,service,0,0,2,2,"0.00668923 0.03182139 0.31174064 0.63647777 0.00909398 0.00102304
  0.00315395]]","0.09250942 0.20712881 0.7001573  0.00002863 0.00017196 0.00000141
  0.00000247]]"
"[""don't"", 'leave  the  restaurant  without  it",ambience,0,0,2,2,0.0661434  0.21292678 0.13319644 0.35287684 0.18212849 0.05272804]],0.09035851 0.14249179 0.73913074 0.00882076 0.01427935 0.00491899]]
"[""don't"", 'leave  the  restaurant  without  it",drinks,0,0,2,2,0.26692817 0.41975847 0.0640492  0.02766168 0.13830692 0.08329558]],0.02287869 0.00000036 0.12115645 0.8477186  0.00798721 0.00025864]]
"[""don't"", 'leave  the  restaurant  without  it",food,1,0,1,2,0.4841218  0.24106899 0.03462311 0.0752965  0.13122617 0.03366347]],0.00315332 0.20489289 0.35034207 0.40279734 0.02632899 0.01248542]]
"[""don't"", 'leave  the  restaurant  without  it",location,0,0,2,2,0.01553583 0.03619351 0.02562797 0.8490766  0.05518516 0.0183809 ]],0.00925881 0.06698334 0.8874419  0.02230885 0.00702783 0.00697932]]
"[""don't"", 'leave  the  restaurant  without  it",restaurant,0,1,2,-1,0.02337353 0.03338515 0.01285542 0.8503348  0.06957394 0.01047714]],0.02137843 0.27671552 0.68407816 0.00631511 0.00784553 0.0036673 ]]
"[""don't"", 'leave  the  restaurant  without  it",service,0,0,2,2,0.03341377 0.27828762 0.04828268 0.5214306  0.09472593 0.02385938]],0.09877346 0.19358969 0.54166836 0.09156166 0.05275963 0.02164713]]
no  comparison,ambience,0,0,2,2,0.6977309  0.30226907]],0.01216542 0.9878346 ]]
no  comparison,drinks,0,0,2,2,0.6869442  0.31305578]],0.3089484 0.6910516]]
no  comparison,food,0,0,2,2,0.69717336 0.30282667]],0.5992903  0.40070966]]
no  comparison,location,0,0,2,2,0.54687315 0.45312682]],0.3855861  0.61441386]]
no  comparison,restaurant,1,1,1,-1,0.6042959 0.3957041]],0.6338687  0.36613134]]
no  comparison,service,0,0,2,2,0.77097315 0.22902687]],0.43164197 0.568358  ]]
"i', ""can't"", 'say  enough  about  this  place",ambience,0,0,2,2,"0.01080227 0.02703696 0.03144589 0.2621917  0.09732285 0.17487632
  0.396324  ]]","0.01299362 0.06347532 0.12794408 0.22674932 0.41450995 0.15400736
  0.00032039]]"
"i', ""can't"", 'say  enough  about  this  place",drinks,0,0,2,2,"0.11033937 0.04927921 0.14326033 0.52631986 0.05595203 0.05967553
  0.05517365]]","0.00201693 0.01008993 0.10575823 0.0000001  0.50322425 0.09994052
  0.27897006]]"
"i', ""can't"", 'say  enough  about  this  place",food,0,0,2,2,"0.15766533 0.05632952 0.0594788  0.30115137 0.15845643 0.14925417
  0.11766439]]","0.00184586 0.00633297 0.01165491 0.00013248 0.10713027 0.5370381
  0.33586544]]"
"i', ""can't"", 'say  enough  about  this  place",location,0,0,2,2,"0.01597089 0.06717258 0.03834865 0.10612522 0.10659156 0.1109725
  0.55481863]]","0.03240979 0.07368723 0.10752773 0.19914775 0.34911942 0.23250274
  0.00560529]]"
"i', ""can't"", 'say  enough  about  this  place",restaurant,1,1,1,1,"0.0112454  0.12038118 0.07077495 0.245222   0.08786617 0.09033107
  0.3741792 ]]","0.00863385 0.07797646 0.03578439 0.06606447 0.20875739 0.3919037
  0.21087979]]"
"i', ""can't"", 'say  enough  about  this  place",service,0,0,2,2,"0.01862071 0.01909288 0.0598699  0.28017402 0.20613274 0.08943986
  0.3266699 ]]","0.00489694 0.00923459 0.02168811 0.26633823 0.4915925  0.20602104
  0.00022869]]"
it  has  great  sushi  and  even  better  service,ambience,0,0,2,2,"0.07939013 0.04497224 0.11781482 0.43751222 0.17085962 0.05378955
  0.03972105 0.05594034]]","0.15228732 0.17104526 0.24292196 0.2755079  0.14594416 0.00782246
  0.00108857 0.00338241]]"
it  has  great  sushi  and  even  better  service,drinks,0,0,2,2,"0.05028854 0.02827316 0.05833277 0.7743595  0.04299893 0.01552785
  0.01124021 0.018979  ]]","0.00204457 0.02069608 0.9382932  0.00067397 0.03072781 0.00006314
  0.00016014 0.00734093]]"
it  has  great  sushi  and  even  better  service,food,1,1,1,1,"0.0161612  0.00560143 0.00523967 0.968048   0.00364922 0.00055665
  0.00018648 0.00055738]]","0.0236961  0.45812076 0.4980963  0.00622585 0.01369921 0.00000218
  0.00000039 0.00015927]]"
it  has  great  sushi  and  even  better  service,location,0,0,2,2,"0.02566329 0.00713706 0.01062764 0.32524553 0.01200821 0.00487435
  0.00970163 0.6047423 ]]","0.02049348 0.14010859 0.5742402  0.10005368 0.0952328  0.00162079
  0.00675683 0.06149357]]"
it  has  great  sushi  and  even  better  service,restaurant,0,0,2,2,"0.01445739 0.00821515 0.01192199 0.8388619  0.02563694 0.0063695
  0.00317378 0.09136339]]","0.06129347 0.20438145 0.33725965 0.35046992 0.02848871 0.00088715
  0.00130273 0.01591695]]"
it  has  great  sushi  and  even  better  service,service,1,1,1,1,"0.00042343 0.00022218 0.00041839 0.02620364 0.00188834 0.00072935
  0.00145461 0.96866006]]","0.00010182 0.00026672 0.0010788  0.00828662 0.00725955 0.00545438
  0.05426991 0.9232822 ]]"
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,ambience,0,0,2,2,"0.01004287 0.15403683 0.73317915 0.01062668 0.01419729 0.05004768
  0.00420069 0.02191062 0.00132009 0.000188   0.00013617 0.00011392]]","0.16381247 0.41467276 0.4185765  0.00032875 0.00072288 0.00067752
  0.00074864 0.00031598 0.00010236 0.00001358 0.00002238 0.00000614]]"
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,drinks,0,0,2,2,"0.03045822 0.19569786 0.69727397 0.0326912  0.01154373 0.01818681
  0.00185593 0.0081757  0.00195332 0.0013585  0.00037214 0.00043261]]","0.20343429 0.7700371  0.00000088 0.00247573 0.00113579 0.02208969
  0.00076526 0.00005948 0.000001   0.00000031 0.00000014 0.00000037]]"
the  entire  staff  was  extremely  accomodating  and  tended  to  my  every  need,food,0,0,2,2,"0.0910027  0.29936916 0.46626475 0.10435954 0.0210082  0.01211754
  0.00101612 0.00346971 0.0011862  0.00011468 0.00006954 0.00002187]]","0.31060243 0.54132825 0.11500459 0.01427769 0.00438343 0.01205648
  0.00197316 0.000347   0.00001566 0.00000364 0.00000639 0.00000133]]"
